t165 [H]C#C/C([H])=C(/c1c([H])c([H])c2c(c1[H])N([H])C(N([H])[H])=N2)c1c([H])c(F)c([H])c([H])c1F
t141b [H]C(=O)N1C([H])([H])C2=C([H])N=NN2c2c([H])c([H])c([H])c([H])c2C1([H])[H]
t141b [H]C(=O)OC([H])([H])C1=C2N(N=N1)C([H])([H])C([H])([H])C2([H])OC(=O)C([H])([H])[H]
t141b [H]C#Cc1c([H])c([H])c2c(c1[H])C([H])([H])OC1=c3c([H])c([H])c([H])c([H])c3=NN12
t83h [H]C1=NC2=C(/C(=N/OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N1[H])[N+](C([H])([H])C([H])([H])[H])=C([H])N2C([H])([H])[H]
t83h [H]C([H])=C([H])C([H])([H])N1C([H])=C([H])[N+](c2nc3c([H])c([H])c([H])c([H])c3nc2[N-]S(=O)(=O)C2=C([H])C([H])=C([H])S2)=C1[H]
t83h [H]C(=O)OC1=C(c2c([H])c([H])c([H])c3c([H])c([H])c([H])c([H])c23)Sc2c([H])c([H])c([H])c([H])c2[N+]2=C1C([H])([H])C([H])=C2[H]
t141c [H]C1=NC2=C(N([H])[H])N3C(=NC([H])=C3[H])N=C2N1[H]
t141c [H]C(=O)C1=C([H])C2([H])C(C#N)=NN([H])C2([H])C([H])=C1[H]
t141c [H]C(=O)C12Oc3c([H])c([H])c([H])c([H])c3C(=O)C1([H])C2([H])[H]
